listing_id,name,city,latitude,longitude,price,room_type,accommodates
2577,Loft for 4 by Canal Saint Martin,Paris,48.86993,2.36251,125,Entire place,4
2595,Skylit Midtown Castle,New York,40.75362,-73.98377,100,Entire place,2
2737,"Elif's room in cozy, clean flat.",Rome,41.87218,12.48355,21,Private room,1
2903,Stay a night in Calisto6 B&B Rome,Rome,41.88826,12.47002,37,Private room,4
3079,Cozy apartment  (2-4)with Colisseum  view,Rome,41.89503,12.49163,105,Entire place,4
3109,zen and calm,Paris,48.83349,2.31852,60,Entire place,2
3191,Malleson Garden Cottage,Cape Town,-33.94739,18.476,497,Entire place,2
3831,"Whole flr w/private bdrm, bath & kitchen(pls read)",New York,40.68514,-73.95976,73,Entire place,3
5121,BlissArtsSpace!,New York,40.68688,-73.95596,60,Private room,2
5178,Large Furnished Room Near B'wayã€€,New York,40.76468,-73.98315,79,Private room,2
5203,Cozy Clean Guest Room - Family Apt,New York,40.80178,-73.96723,75,Private room,1
5396,Explore the heart of old Paris,Paris,48.85207,2.35871,81,Entire place,2
5803,"Lovely Room 1, Garden, Best Area, Legal rental",New York,40.66829,-73.98779,83,Private room,2
6848,Only 2 stops to Manhattan studio,New York,40.70837,-73.95352,109,Entire place,3
6872,Uptown Sanctuary w/ Private Bath (Month to Month),New York,40.80139,-73.94244,65,Private room,1
6990,UES Beautiful Blue Room,New York,40.78962,-73.94802,62,Private room,1
7097,Perfect for Your Parents:  Privacy + Garden,New York,40.69121,-73.97277,199,Entire place,4
7397,MARAIS - 2ROOMS APT - 2/4 PEOPLE,Paris,48.85758,2.35275,80,Entire place,4
7750,2 Furnished bedrooms next to Central Park,New York,40.79685,-73.94872,96,Private room,1
7801,Sweet and Spacious Brooklyn Loft,New York,40.71842,-73.95718,299,Entire place,4
7964,Large & sunny flat with balcony !,Paris,48.87417,2.34245,130,Entire place,2
8490,"Maison des Sirenes1,bohemian, luminous apartment",New York,40.68371,-73.94028,120,Entire place,5
9357,Midtown Pied-a-terre,New York,40.76715,-73.98533,150,Entire place,2
9359,"Cozy, Central Paris: WALK or VELIB EVERYWHERE !",Paris,48.85899,2.34735,75,Entire place,2
9657,Modern 1 BR / NYC / East Village,New York,40.7292,-73.98542,150,Entire place,3
9704,Spacious 1 bedroom in luxe building,New York,40.81305,-73.95466,55,Private room,2
9952,Paris petit coin douillet,Paris,48.86227,2.37134,75,Entire place,2
10452,Large B&B Style rooms,New York,40.6831,-73.95473,70,Private room,3
10586,Montmartre Studio 7,Paris,48.88902,2.34656,80,Entire place,4
10588,Montmartre Studio 10,Paris,48.88918,2.3449,75,Entire place,3
10710,"Calm  place in a ""bourgeois"" area !",Paris,48.879,2.31608,90,Entire place,4
10962,"Lovely Room 2; Garden; Best area, Legal",New York,40.66869,-73.9878,83,Private room,2
11156,An Oasis in the City,Sydney,-33.86934,151.22688,65,Private room,1
11170,QUARTIER LATIN APART,Paris,48.8467,2.35095,75,Entire place,2
11213,DOWNTOWN PARIS,Paris,48.8711,2.37424,170,Private room,6
11265,Elegant appartment in Montmartre,Paris,48.88434,2.34005,100,Entire place,2
11798,Loft very charming in Paris,Paris,48.82405,2.36828,110,Entire place,3
11834,"Roma ""Charming Boschetto House""",Rome,41.89574,12.49058,90,Entire place,2
11848,Swishy Cosy Paris Pad,Paris,48.86578,2.37705,50,Entire place,3
11943,Country space in the city,New York,40.63702,-73.96327,150,Private room,1
12192,ENJOY Downtown NYC!,New York,40.7229,-73.98199,40,Private room,2
12268,Faubourg Saint Antoine-chambrecalme,Paris,48.8509,2.38695,60,Private room,2
12343,BEST BET IN HARLEM,New York,40.81175,-73.94478,150,Entire place,3
12351,Sydney City & Harbour at the door,Sydney,-33.86515,151.1919,14315,Private room,2
12398,Casa Donatello - Home far from Home,Rome,41.92584,12.46809,73,Entire place,5
12452,Cozy apartment near Bastille,Paris,48.8596,2.3783,139,Entire place,4
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",New York,40.74771,-73.9474,130,Private room,4
12940,Charming Brownstone 3 - Near PRATT,New York,40.68111,-73.95591,99,Entire place,2
13121,(E) RIGHT ON BUDGET,New York,40.67144,-73.76501,75,Private room,4
13394,Fort Greene brownstone,New York,40.69142,-73.97376,80,Private room,2
13808,Blue Room for 2 in Brownstone for $1350 monthly,New York,40.68064,-73.94039,81,Private room,2
14181,Beautiful apt close to the Vatican,Rome,41.91485,12.45321,187,Private room,1
14250,Manly Harbour House,Sydney,-33.80093,151.26172,470,Entire place,6
14264,Charming sunny 2BR in Montmartre !,Paris,48.88315,2.34158,90,Entire place,2
14290,* ORIGINAL BROOKLYN LOFT *,New York,40.7042,-73.9356,157,Entire place,2
14314,Greenpoint Place...Has It All!,New York,40.73506,-73.95392,99,Entire place,2
